title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Added Stanford Networks class and fixed dead links,2017-02-05T03:17:21Z,2017-02-05T08:07:10Z,2017-02-05T08:07:10Z,1,,4.830277777777778,1,96,Merged
Update README.md,2021-01-15T17:50:07Z,2021-01-16T21:12:51Z,2021-01-16T21:12:51Z,2,,27.378888888888888,1,65,Merged
Updated Readme,2022-01-25T04:31:08Z,2022-01-27T16:21:42Z,2022-01-27T16:21:42Z,1,,59.842777777777776,1,120,Merged
"Syntax, style, spaces, spelling #2",2022-01-27T19:22:04Z,2022-01-30T17:47:13Z,2022-01-30T17:47:13Z,3,,70.41916666666667,3,67,Merged
Add CS50 lectures,2022-01-28T16:08:34Z,2022-01-30T17:50:58Z,2022-01-30T17:50:58Z,2,,49.70666666666666,1,131,Merged
add new 2020 MIT course,2022-01-29T14:29:16Z,2022-01-30T17:51:53Z,2022-01-30T17:51:53Z,1,,27.376944444444444,1,0,Merged
Update README.md (New Blockchain Course added),2022-09-03T06:21:16Z,2022-10-02T19:00:55Z,2022-10-02T19:00:55Z,1,,708.6608333333334,1,115,Merged
The playlist has been removed,2023-01-23T17:21:11Z,2023-02-03T15:48:48Z,2023-02-03T15:48:48Z,1,,262.4602777777778,1,92,Merged
